"snapshot_date","window_start","window_end","store_name","spot_id","storage_id","product_name","product_id","ingredient_name","ingredient_id","current_avg_sales_day","current_min_stock"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Гавайська""","292","Піца ""Гавайська""","391","0,86","2"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Грибна""","294","Піца ""Грибна""","392","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Європейська""","295","Піца ""Європейська""","397","0,86","2"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Італійська""","660","Піца ""Італійська""","1413","1,14","2"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","1,64","3"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""М*ясна""","297","Піца ""М*ясна""","393","1,14","2"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Мисливська""","298","Піца ""Мисливська""","394","1,07","2"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Особлива""","300","Піца ""Особлива""","396","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,14","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Поло""","659","Піца ""Поло""","1411","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Сирна""","301","Піца ""Сирна""","395","1,14","2"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,14","1"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Американська""","1055","Піца ""Американська""","2215","0,79","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Верона""","879","Піца ""Верона""","1954","1,07","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Гавайська""","292","Піца ""Гавайська""","391","1,21","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Грибна""","294","Піца ""Грибна""","392","0,86","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,71","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Європейська""","295","Піца ""Європейська""","397","1,29","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Італійська""","660","Піца ""Італійська""","1413","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","2,21","4"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,71","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""М*ясна""","297","Піца ""М*ясна""","393","1,07","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Мисливська""","298","Піца ""Мисливська""","394","1,43","3"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Особлива""","300","Піца ""Особлива""","396","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Поло""","659","Піца ""Поло""","1411","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Сирна""","301","Піца ""Сирна""","395","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Американська""","1055","Піца ""Американська""","2215","1,86","3"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Верона""","879","Піца ""Верона""","1954","1,57","3"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Гавайська""","292","Піца ""Гавайська""","391","1,57","3"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Грибна""","294","Піца ""Грибна""","392","1,14","2"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,21","1"
